LicenseNumber,FacilityName,DBA,FacilityType,City,ZipCode,DateUpdated
402-00097,COLORADO ALTERNATIVE HEALTH CARE LTD,PALISADES HEALTH CARE INC,MMC,Palisade,81526,2020-12-01
402-00207,GREENER PASTURE COMPASSION CENTER LLC,VERDE NATURAL,MMC,Denver,80220,2020-12-01
402-00125,BLUEGRASS WELLNESS INC,BRIARGATE WELLNESS CENTER,MMC,Colorado Springs,80918,2020-12-01
402-00140,GL INDUSTRIAL,GROW LIFE INC,MMC,Colorado Springs,80907,2020-12-01
402-00186,GREEN PHARM LLC,GREEN PHARM,MMC,Colorado Springs,80909,2020-12-01
402-00096,GAS AND GRASS LLC,ROLLUP,MMC,Denver,80216,2020-12-01
402-00085,A CUT OFF THE TOP MEDICAL MARIJUANA LLC,,MMC,Denver,80204,2020-12-01
402-00087,GREEN CROSS LLC,GREEN CROSS OF CHERRY CREEK,MMC,Denver,80224,2020-12-01
402-00146,CHOICE ORGANICS INC,,MMC,Fort Collins,80524,2020-12-01
402-00204,5110 SANCTUARY LLC,EVERBLOOM,MMC,Denver,80216,2020-12-01
402-00247,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,MMC,Colorado Springs,80909,2020-12-01
402-00248,CC GROUP,HIGH TOPS,MMC,Colorado Springs,80915,2020-12-01
402-00031,NATURAL MYSTIC CANNABIS CAREGIVERS LLC,,MMC,Colorado Springs,80903,2020-12-01
402-00145,THIRD DAY APOTHECARY MC LLC,THIRD DAY,MMC,Colorado Springs,80918,2020-12-01
402-00075,METRO CANNABIS INC,SILVER STEM FINE CANNABIS,MMC,Denver,80220,2020-12-01
402-00037,UNITED PATIENTS OF AMERICA LLC,ASPEN ROARING FORK WELLNESS,MMC,Basalt,81621,2020-12-01
402-00242,HIGH MOUNTAIN MEDZ LLC,LEVITY WELLNESS,MMC,Colorado Springs,80907,2020-12-01
402-00243,ASPEN FOREST LLC,MARY JANE'S HOUSE,MMC,Denver,80239,2020-12-01
402-00209,VERTICAL INVESTMENT GROUP LLC,STELLAR CANNABIS CO,MMC,Lakewood,80232,2020-12-01
402-00251,ROCKY MOUNTAIN ORGANIC MEDICINE INC,,MMC,Golden,80401,2020-12-01
402-00069,MARI MEDS INC,MARI MEDS,MMC,Colorado Springs,80903,2020-12-01
402-00065,BUD BUM LLC,BUD BUM,MMC,Denver,80223,2020-12-01
402-00237,WESTSIDE WELLNESS CENTER LLC,MAGGIES FARM,MMC,Colorado Springs,80907,2020-12-01
402-00179,HIGH COUNTRY SUPPLY LLC,COLORADO HARVEST COMPANY,MMC,Denver,80223,2020-12-01
402-00241,BUDDIES WELLNESS LLC,LA BODEGA,MMC,Denver,80223,2020-12-01
402-00240,LIGHTSHADE LABS LLC,LIGHTSHADE,MMC,Denver,80222,2020-12-01
402-00211,COLORADO CANNABIS COMPANY LLC,PURE MARIJUANA DISPENSARY,MMC,Edgewater,80214,2020-12-01
402-00058,THE GREEN HOUSE INC,,MMC,Colorado Springs,80905,2020-12-01
402-00059,SECOND AVENUE LLC,LUSH,MMC,Denver,80223,2020-12-01
402-00180,CANOSA PROPERTY INVESTMENTS LLC,BOTANICO 2,MMC,Denver,80204,2020-12-01
402-00216,BOBBY BROWN BEST BUDS LLC,BOBBY BROWN BEST BUDS,MMC,Colorado Springs,80903,2020-12-01
402-00060,OG MEDICINALS LLC,,MMC,Denver,80239,2020-12-01
402-00039,SUMMIT WELLNESS,DENREC DENVER RECREATIONAL DISPENSARY,MMC,Denver,80223,2020-12-01
402-00063,QUALITY CHOICE ALTERNATIVE CARE CENTER LLC,QUALITY CHOICE,MMC,Colorado Springs,80909,2020-12-01
402-00157,JMC ENTERPRISES INC,FREMONT COUNTY CANNABIS,MMC,Canon City,81212,2020-12-01
402-00162,WTJ FAMILY ENTERPRISES LLC,WTJ MMJ SUPPLY,MMC,Colorado Springs,80909,2020-12-01
402-00166,4095 SHELTER LLC,EVERBLOOM,MMC,Denver,80216,2020-12-01
402-00066,GREEN AROUND YOU MERGERCO LLC,GOLDEN MEDS,MMC,Denver,80224,2020-12-01
402-00116,PAIN MANAGEMENT SOLUTIONS LLC,HIGH TOPS,MMC,Colorado Springs,80903,2020-12-01
402-00170,CITI-MED LLC,STARBUDS,MMC,Denver,80210,2020-12-01
402-00174,SILVERPEAK CORP,THE DAB BY SILVERPEAK - DOWNTOWN,MMC,Denver,80205,2020-12-01
402-00228,TZ FINANCIAL LLC,HIGH COUNTRY HEALING,MMC,Silverthorne,80498,2020-12-01
402-00396,MOUNTAIN ANNIES LLC,MEDICINE MAN OF CORTEZ,MMC,Cortez,81321,2020-12-01
402-00265,TREATMENTS UNLIMITED LLC,ALTITUDE EAST,MMC,Denver,80224,2020-12-01
402-00262,DISCOUNT MEDICAL MARIJUANA LLC,HIGH LEVEL HEALTH,MMC,Denver,80206,2020-12-01
402-00263,DISCOUNT MEDICAL MARIJUANA LLC,HIGH LEVEL HEALTH,MMC,Denver,80203,2020-12-01
402-00260,PIONEER INTERESTS SHERIDAN LLC,LOVA EDGEWATER,MMC,Edgewater,80214,2020-12-01
402-00352,PND LLC,A CUT ABOVE ,MMC,Colorado Springs,80907,2020-12-01
402-00390,AJC INDUSTRIES LLC,TWEEDLEAF,MMC,Colorado Springs,80904,2020-12-01
402-00330,JOIS LLC,SILVER STEM FINE CANNABIS,MMC,Denver,80236,2020-12-01
402-00351,MC STRATEGIC VENTURES LLC,JADE KOLA,MMC,Colorado Springs,80910,2020-12-01
402-00272,CANNA MEDS WELLNESS CENTER LLC,CANNA MEDS WELLNESS CENTER,MMC,Colorado Springs,80909,2020-12-01
402-00192,MILE HIGH WELLNESS II LLC,MILE HIGH WELLNESS-GREEN STREET,MMC,Denver,80223,2020-12-01
402-00386,SOLACE MEDS OF WHEAT RIDGE LLC,,MMC,Wheat Ridge,80033,2020-12-01
402-00193,THE GIVING TREE OF DENVER LLC,,MMC,Denver,80211,2020-12-01
402-00385,MEDICAL MJ SUPPLY LLC,BEST COLORADO CANNABIS,MMC,Wheat Ridge,80033,2020-12-01
402-00389,NUVUE PHARMA LLC,,MMC,Colorado Springs,80909,2020-12-01
402-00498,DGS INC,THE KIND ROOM,MMC,Denver,80210,2020-12-01
402-00399,COLORADO CANNABIS SERVICES LLC,GREEN CROSS CAREGIVERS,MMC,Denver,80231,2020-12-01
402-00376,GM BROADWAY LLC,GOLDEN MEDS,MMC,Denver,80219,2020-12-01
402-00325,COMPASSIONATE PAIN MANAGEMENT LLC,AJOYA,MMC,Louisville,80027,2020-12-01
402-00326,CPM LAKEWOOD LLC,AJOYA MEDICAL CANNABIS,MMC,Lakewood,80215,2020-12-01
402-00299,GM 4401 LLC,GOLDEN MEDS,MMC,Denver,80212,2020-12-01
402-00301,DP RETAIL 115 LLC,GREEN DRAGON COLORADO,MMC,Denver,80206,2020-12-01
402-00410,ZENGOLDS LLC,,MMC,Longmont,80503,2020-12-01
402-00346,PURE MEDICAL LLC,PURE MEDICAL,MMC,Colorado Springs,80920,2020-12-01
402-00349,ERINCARE LLC,THE TREEHOUSE,MMC,Colorado Springs,80907,2020-12-01
402-00377,SOFA KING MEDICINAL WELLNESS PRODUCTS LLC,SKM,MMC,Dumont,80436,2020-12-01
402-00347,PURE MEDICAL LLC,PURE MEDICAL,MMC,Colorado Springs,80919,2020-12-01
402-00324,UNIQUEITMINDS INC,CHRONORADO ,MMC,Denver,80224,2020-12-01
402-00494,MAMMOTH DURANGO LLC,MAMMOTH FARMS,MMC,Denver,80219,2020-12-01
402-00495,COLORADO CANNABIS COMPANY LLC,PURE MARIJUANA DISPENSARY,MMC,Denver,80216,2020-12-01
402-00490,GREEN MEADOWS DISPENSARY LLC,GREEN MEADOWS DISPENSARY LLC,MMC,Montrose,81403,2020-12-01
402-00428,THE 64 STORE LLC,THE 64 STORE,MMC,Colorado Springs,80905,2020-12-01
402-00429,KGBI COLORADO LLC,SPARK DISPENSARY,MMC,Denver,80216,2020-12-01
402-00424,NATURES KISS CANNABIS SERVICES HEALTH & WELLNESS LLC,NATURES KISS,MMC,Englewood,80113,2020-12-01
402-00443,TERPS LLC,TERPS,MMC,Colorado Springs,80907,2020-12-01
402-00439,WHITE STAG FARMS LLC,THE CORNER CO,MMC,Colorado Springs,80905,2020-12-01
402-00323,D & D CONSULTING INC,KAYA CANNABIS,MMC,Lakewood,80228,2020-12-01
402-00417,RJJ TOWER LLC,NATIVE ROOTS DENVER AIRPORT,MMC,Denver,80249,2020-12-01
402-00286,PI NORTH SHERIDAN LLC,,MMC,Denver,80226,2020-12-01
402-00501,MILE HIGH MEDICAL CANNABIS LLC,LIT,MMC,Denver,80204,2020-12-01
402-00317,LOTUS MEDICAL LLC,,MMC,Denver,80207,2020-12-01
402-00576,SUNRISE SOLUTIONS,,MMC,Bailey,80421,2020-12-01
402-00403,RD INDUSTRIES II LLC,HOUSE OF DANKNESS,MMC,Denver,80239,2020-12-01
402-00419,CANNABIS CARE WELLNESS CENTERS LLC,SMOKEY'S,MMC,Garden City,80631,2020-12-01
402-00304,MILE HIGH DISPENSARY LLC,MILE HIGH DISPENSARY,MMC,Denver,80232,2020-12-01
402-00306,ABUNDANT HEALTH DENVER LLC,HERBAN UNDERGROUND,MMC,Denver,80203,2020-12-01
402-00579,P & C EXPRESS LLC,ROCKY MOUNTAIN  HIGH DISPENSARY,MMC,Montrose,81401,2020-12-01
402-00406,KIND THERAPEUTICS INC,DABARADO,MMC,Colorado Springs,80919,2020-12-01
402-00581,ENLIGHTENED CARE LLC,HIGH COUNTRY HEALING 4,MMC,Colorado Springs,80907,2020-12-01
402-00405,LIGHTSHADE LABS LLC,LIGHTSHADE,MMC,Denver,80247,2020-12-01
402-00294,LITTLE BROWN HOUSE DISPENSARY LLC,LITTLE BROWN HOUSE ,MMC,Denver,80210,2020-12-01
402-00409,DELTA-9 DELIGHTS LLC,REEFER MADNESS,MMC,Denver,80216,2020-12-01
402-00474,TELLURIDE GREEN ROOM LLC,TELLURIDE GREEN ROOM,MMC,Telluride,81435,2020-12-01
402-00565,KINGS CANNABIZ LLC,KINGS CANNABIZ,MMC,Colorado Springs,80909,2020-12-01
402-00566,SISSCO LLC,TRENCHTOWN,MMC,Denver,80214,2020-12-01
402-00583,GM BROADWAY LLC,GOLDEN MEDS,MMC,Denver,80210,2020-12-01
402-00573,D & D CONSULTING INC,SOUTHWEST ALTERNATIVE CARE FOX ST,MMC,Denver,80223,2020-12-01
402-00585,HERBAL HEALTH LLC,LOCAL PRODUCT OF COLORADO,MMC,Denver,80204,2020-12-01
402-00475,SHAUN D HADLEY,CRAIG APOTHECARY,MMC,Craig,81625,2020-12-01
402-00484,PNP VENTURES LLC,HEADMASTER,MMC,Colorado Springs,80907,2020-12-01
402-00539,SLAM ENTERPRISES LLC,NATURALEAF,MMC,Colorado Springs,80903,2020-12-01
402-00503,505 CENTER LLC,PURE MARIJUANA DISPENSARY ,MMC,Denver,80216,2020-12-01
402-00504,HADCAV ENTERPRISES INC,PURE MARIJUANA DISPENSARY,MMC,Denver,80220,2020-12-01
402-00486,DURANGO ORGANICS LLP,DO CORTEZ ,MMC,Cortez,81321,2020-12-01
402-00454,SUSTAINABLE HEALTH LLC,14ER HOLISTICS,MMC,Boulder,80301,2020-12-01
402-00569,CMED LLC,ROCKY MOUNTAIN HIGH,MMC,Carbondale,81623,2020-12-01
402-00473,ORGANIC WELLNESS DISPENSARY LLC,GREEN TREE MEDICINALS,MMC,Boulder,80303,2020-12-01
402-00543,COLORADO SPRINGS INVESTMENTS LLC,THE DISPENSARY,MMC,Colorado Springs,80909,2020-12-01
402-00544,THA CORP,THE HERBAL ALTERNATIVE,MMC,Cortez,81321,2020-12-01
402-00545,DKC LLC,DENVER KUSH CLUB,MMC,Denver,80205,2020-12-01
402-00542,COLORADO PRODUCT SERVICES LLC,DOUBLE BLACK,MMC,Glenwood Springs,81601,2020-12-01
402-00533,BBM ENTERPRISES LLC,HELPING HANDS CANNABIS,MMC,Boulder,80302,2020-12-01
402-00549,INDY 3 LLC,INDISPENSARY,MMC,Colorado Springs,80907,2020-12-01
402-00453,KAZIMER LLC,ROCKY MOUNTAIN HIGH,MMC,Denver,80216,2020-12-01
402-00512,QUALITY CHOICE ALTERNATIVE CARE CENTER LLC,QUALITY CHOICE,MMC,Colorado Springs,80909,2020-12-01
402-00444,AMERICAN WHOLESALE LLC,PALMER LAKE WELLNESS CENTER,MMC,Palmer Lake,80133,2020-12-01
402-00513,WELLNESS CENTERS OF COLORADO LLC,EMJS,MMC,Colorado Springs,80907,2020-12-01
402-00551,GREEN MEDICINE LLC,GREEN MEDICINE WELLNESS,MMC,Glenwood Springs,81601,2020-12-01
402-00591,NKHAT LLC,FROST HARVEST,MMC,Colorado Springs,80907,2020-12-01
402-00649,HG LTD,HIGHER GRADE,MMC,Denver,80204,2020-12-01
402-00633,PHYSICIAN PREFERRED PRODUCTS LLC,DOCS APOTHECARY,MMC,Northglenn,80233,2020-12-01
402-00825,MW INDUSTRY LLC,CROSS GENETICS,MMC,Lakewood,80226,2020-12-01
402-00635,GM LAKEWOOD LLC,GOLDEN MEDS,MMC,Lakewood,80215,2020-12-01
402-00653,BROW 1 LLC,XCLUSIVE CANNABIS,MMC,Denver,80207,2020-12-01
402-00693,KARMACEUTICALS LLC,KARMACEUTICALS,MMC,Denver,80223,2020-12-01
402-00656,GM BRYANT LLC,,MMC,Denver,80204,2020-12-01
402-00696,EZ NATURAL ALTERNATIVES LLC,HERBS PLACE,MMC,Colorado Springs,80909,2020-12-01
402-00637,RJJ HIGHLANDS LLC,NATIVE ROOTS HIGHLANDS,MMC,Denver,80211,2020-12-01
402-00699,ALPINE HERBAL WELLNESS LLC,FROSTED LEAF,MMC,Denver,80209,2020-12-01
402-00613,IEROS LLC,LIFE FLOWER DISPENSARY LLC,MMC,Glendale,80246,2020-12-01
402-00841,KIND CARE OF COLORADO LLC,KIND CARE OF COLORADO,MMC,Fort Collins,80525,2020-12-01
402-00614,SWEET LEAF PIONEER LLC,,MMC,Eagle,81631,2020-12-01
402-00645,MILE HIGH REMEDIES LLC,DOCTORS ORDERS,MMC,Colorado Springs,80909,2020-12-01
402-00602,METRO DENVER TELLURIDE HEALTH CENTER LLC,THE HEMP CENTER,MMC,Littleton,80120,2020-12-01
402-00823,ASCEND II LLC,ASCEND CANNABIS CO,MMC,Buena Vista,81211,2020-12-01
402-00597,KIRKE LLC,THE HEMP CENTER COLORADO SPRINGS,MMC,Colorado Springs,80904,2020-12-01
402-00655,GANJA GOURMET LLC,GANJA GOURMET,MMC,Denver,80210,2020-12-01
402-00844,ORGANIC ALTERNATIVES INC,ORGANIC ALTERNATIVES,MMC,Fort Collins,80524,2020-12-01
402-00811,BELLFLOWER LLC,ORGANIX,MMC,Breckenridge,80424,2020-12-01
402-00691,PERSONALIZED ORGANIC TREATMENTS LLC,CANNA BOTICA,MMC,Denver,80223,2020-12-01
402-00670,BGOOD VENTURES LLC,BGOOD APOTHECARY,MMC,Denver,80209,2020-12-01
402-00703,LIVWELL X LLC,LIVWELL,MMC,Denver,80220,2020-12-01
402-00831,O LIMITED,SILVER STEM FINE CANNABIS,MMC,Nederland,80466,2020-12-01
402-00832,BOTANACARE LLC,B GOOD,MMC,Northglenn,80234,2020-12-01
402-00664,SOUTHWEST ALTERNATIVE CARE LLC,KAYA,MMC,Denver,80204,2020-12-01
402-00667,ROCKY MOUNTAIN MEDICAL LLC,,MMC,Colorado Springs,80909,2020-12-01
402-00788,GOLDEN MEDS MERGERCO LLC,GOLDEN MEDS,MMC,Denver,80239,2020-12-01
402-00675,LITTLE GREEN PHARMACY INC,LITTLE GREEN PHARMACY,MMC,Denver,80210,2020-12-01
402-00833,MOUNTAIN ANNIES LLC,,MMC,Ridgway,81432,2020-12-01
402-00687,MAKENA UNLIMITED LLC,,MMC,Denver,80210,2020-12-01
402-00773,GATSBY HOLDINGS LLC,BILLO,MMC,Steamboat Springs,80487,2020-12-01
402-00830,STONE T.M.C. LLC,THE STONE,MMC,Denver,80219,2020-12-01
402-00681,SWEETWATER PARTNERS LLC,GOOD CHEMISTRY ,MMC,Denver,80210,2020-12-01
402-00721,MEDICAL CANNABIS COLORADO LLC,CURE COLORADO,MMC,Denver,80222,2020-12-01
402-00739,VENDING BY A & A LLC,NATURE'S OF SEDGWICK,MMC,Sedgwick,80749,2020-12-01
402-00744,THE HERB SHOPPE LLC,THE HERB SHOPPE,MMC,Colorado Springs,80904,2020-12-01
402-00763,HAPPY BUDDHA WELLNESS CENTER LLC,,MMC,Colorado Springs,80909,2020-12-01
402-00786,COS INVESTMENTS LLC,HIGH HOPES,MMC,Colorado Springs,80910,2020-12-01
402-00789,ADVANCE CURE FOR VERA BESTURA LLC,HERBAN FARMER,MMC,Colorado Springs,80904,2020-12-01
402-00768,E2T2 LLC,COOKIES BROADWAY,MMC,Denver,80210,2020-12-01
402-00998,DENVER PATIENTS GROUP LLC,LIVWELL,MMC,Denver,80205,2020-12-01
402-00827,DENVER DISPENSARY LLC,DENVER DISPENSARY,MMC,Denver,80216,2020-12-01
402-00942,JVT ENTERPRISES INC,COLORADO CANNABIS CONNECTION,MMC,Denver,80127,2020-12-01
402-00924,BOLDER VENTURES LTD,THE PEACEFUL CHOICE,MMC,Boulder,80303,2020-12-01
402-00941,BK HOLDINGS LLC,THE HERBAL CENTER,MMC,Denver,80239,2020-12-01
402-00861,ELITE ORGANICS LLC,ELITE ORGANICS,MMC,Fort Collins,80524,2020-12-01
402-00880,ROCKY ROAD REMEDIES LLC,ROCKY ROAD WEST,MMC,Colorado Springs,80917,2020-12-01
402-00973,NATURES HERBS & WELLNESS CENTER II LLC,,MMC,Log Lane Village,80705,2020-12-01
402-00887,NATURAL ALTERNATIVES FOR HEALTH CORP,,MMC,Fort Collins,80525,2020-12-01
402-00949,M&M DISTRIBUTING LLC,,MMC,Trinidad,81082,2020-12-01
402-00992,TRINIDADS HIGHER CALLING U LLC,,MMC,Trinidad,81082,2020-12-01
402-00839,THE GREEN SOLUTION LLC,,MMC,Fort Collins,80524,2020-12-01
402-00840,VERTS LLC,VERTICAL,MMC,Fort Collins,80521,2020-12-01
402-00858,GREEN MEDICALS WELLNESS CENTER #5 LLC,SMOKEYS,MMC,Fort Collins,80525,2020-12-01
402-00978,ASCEND LITTLETON LLC,ASCEND CANNABIS CO,MMC,Littleton,80120,2020-12-01
402-00980,1917 SANTA FE LLC,APOTHECARY FARMS,MMC,Pueblo,81006,2020-12-01
402-00983,BIOMEDS LLC,BIOMEDS,MMC,Colorado Springs,80905,2020-12-01
402-00806,FOX STREET WELLNESS LLC,FOX CANNABIS,MMC,Denver,80216,2020-12-01
402-00798,SILVERPEAK CORP,,MMC,Aspen,81611,2020-12-01
402-00930,BIG MOUNTAIN ORGANICS LLC,BIG MEDICINE CANNABISSARY,MMC,Colorado Springs,80907,2020-12-01
402-00800,GRANT PHARMS LLC,GRANT PHARMS MMC,MMC,Colorado Springs,80906,2020-12-01
402-00815,GM CO SPRINGS LLC,GOLDEN MEDS,MMC,Colorado Springs,80903,2020-12-01
402-00970,LIGHTSHADE LABS LLC,LIGHTSHADE,MMC,Denver,80232,2020-12-01
402-00848,GARCIA & MAESTAS INC,LA CASA CANNABIS II,MMC,Alamosa,81101,2020-12-01
402-00854,GREEN FIELDS LLC,GREENFIELDS,MMC,Denver,80223,2020-12-01
402-00933,MJLQ LLC,GREEN RINO,MMC,Denver,80216,2020-12-01
402-00989,IGADI LTD,IGADI,MMC,Tabernash,80478,2020-12-01
402-01014,THE CHRONIC FACTORY LLC,NEW AMSTERDAM ,MMC,Denver,80223,2020-12-01
402-00588,PLATTE VALLEY DISPENSARY LLC,PLATTE VALLEY DISPENSARY,MMC,Denver,80211,2020-12-01
402-00969,COS INVESTMENTS LLC,HIGH HOPES,MMC,Colorado Springs,80918,2020-12-01
402-00870,DENCO LLC, ,MMC,Denver,80216,2020-12-01
402-01020,8058 LLC,MIGHTY TREE,MMC,Denver,80211,2020-12-01
402-00232,TRICHOME HEALTH CONSULTANTS INC,TRICHOME HEALTH CONSULTANTS,MMC,Colorado Springs,80904,2020-12-01
402-01064,CG INDUSTRY LLC,CROSS GENETICS,MMC,Denver,80216,2020-12-01
402-01078,DR RELEAF INC,,MMC,Colorado Springs,80915,2020-12-01
402-01065,SLAM ENTERPRISES LLC,NATURALEAF,MMC,Colorado Springs,80909,2020-12-01
402-00866,LONG GONE FARMS LLC,,MMC,Pueblo West,81007,2020-12-01
402-01023,MODERN MEDICINE LLC,ALTITUDE ORGANIC MEDICINE,MMC,Colorado Springs,80918,2020-12-01
402-01076,MJM HOLDINGS LIMITED,STICKY FINGERZ,MMC,Denver,80205,2020-12-01
402-00971,SIMPLY PURE EDIBLES COLORADO LLC,HIGHLANDS BEST,MMC,Denver,80223,2020-12-01
402-01019,FRANKS FARM LLC,FRANKS FARM,MMC,Colorado Springs,80910,2020-12-01
402-01071,GARDEN OF THE BUDZ LLC,GARDEN OF THE BUDZ,MMC,Colorado Springs,80904,2020-12-01
402-01062,NUVUE PHARMA LLC,,MMC,Pueblo,81008,2020-12-01
402-01080,GREEN GARDENS LLC,GREEN FIELDS,MMC,Denver,80223,2020-12-01
402-01066,TROY ENTERPRISES LLC,ELEVATIONS,MMC,Colorado Springs,80920,2020-12-01
402-00874,GREEN LIFE SOLUTIONS LLC,GREEN TREE MEDICINALS,MMC,Northglenn,80234,2020-12-01
402-01109,ITS ALL GOOD ENTERPRISES LLC,GOOD WEED,MMC,Colorado Springs,80903,2020-12-01
402-00945,NATURE MED INC,KIND-MEDS,MMC,Denver,80223,2020-12-01
402-00666,LIVWELL III LLC,LIVWELL,MMC,Denver,80223,2020-12-01
402-00993,EARTH SOLUTIONS INC,CANNA CABINET INC,MMC,Pueblo,81004,2020-12-01
402-01044,ZIPZ LLC,ZIPZ,MMC,Colorado Springs,80907,2020-12-01
402-01079,BK HOLDINGS LLC,THE HERBAL CENTER,MMC,Denver,80210,2020-12-01
402-01030,SMOKED COLORADO INC,MIGHTY TREE,MMC,Denver,80223,2020-12-01
402-01038,PHOENIX CORP,,MMC,Denver,80204,2020-12-01
402-01040,FIPG LLC,,MMC,Pueblo West,81007,2020-12-01
402-01012,COLORADO CANNABIS COMPANY LLC,PURE MARIJUANA DISPENSARY,MMC,Denver,80204,2020-12-01
402-00972,RJJ EDGEWATER LLC,NATIVE ROOTS EDGEWATER,MMC,Edgewater,80214,2020-12-01
402-01085,ANCIENT ALTERNATIVES LLC,GREEN TREE MEDICINALS,MMC,Longmont,80504,2020-12-01
402-00975,COLORADO DISTRIBUTING LLC,THE DISPO,MMC,Pueblo West,81007,2020-12-01
402-00875,DR RELEAF INC,,MMC,Colorado Springs,80909,2020-12-01
402-00981,GREEN KIWI 2 LLC,LIVWELL,MMC,Denver,80203,2020-12-01
402-01016,FOUNTAIN ORGANICS LLC,FOUNTAIN ORGANICS,MMC,Colorado Springs,80917,2020-12-01
402-00698,HERBAL WELLNESS LLC,HERBAL WELLNESS LLC,MMC,Lafayette,80026,2020-12-01
402-00956,WELLNESS CENTER OF THE ROCKIES INC,WCR,MMC,Denver,80224,2020-12-01
402-01100,FREEDOM ROAD GARDEN LTD,FREEDOM ROAD,MMC,Trinidad,81082,2020-12-01
402-00959,INDY 2 LLC,INDISPENSARY,MMC,Colorado Springs,80904,2020-12-01
402-01011,SEVEN-ONE-NINE LLC,COLORADO KUSH DISPENSARY,MMC,Pueblo,81004,2020-12-01
402-00857,DENCO LLC,,MMC,Denver,80216,2020-12-01
402-00043,CURE MEDICAL PHARM INC,RIVERROCK,MMC,Denver,80204,2020-12-01
402-00867,CG INDUSTRY LLC,CROSS GENETICS,MMC,Denver,80219,2020-12-01
402-00966,RANGE LLC,EVERBLOOM,MMC,Rifle,81650,2020-12-01
402-01026,CANNA MEDS WELLNESS CENTER LLC,CANNA MEDS WELLNESS CENTER,MMC,Colorado Springs,80909,2020-12-01
402-00958,ZENGOLDS LLC,,MMC,Fort Collins,80525,2020-12-01
402-00893,J&R PARTNERS LLC,NATIVE ROOTS VAIL,MMC,Avon,81620,2020-12-01
402-00292,NATIONAL GREEN SOURCE LLC,THE GREEN SOURCE,MMC,Colorado Springs,80905,2020-12-01
402-00859,NATURAL ALTERNATIVES FOR LIFE LLC,GREEN TREE MEDICINALS,MMC,Berthoud,80513,2020-12-01
402-01120,ROYAL ASSET MANAGEMENT LLC,DIEGO PELLICER,MMC,Denver,80219,2020-12-01
402-01153,GRANT PHARMS LLC,GRANT PHARMS MMC,MMC,Colorado Springs,80909,2020-12-01
402-00869,ACADEMY OF THE HEALING ARTS LLC,HIGH VALLEY HEALING ALAMOSA,MMC,Alamosa,81101,2020-12-01
402-00939,ASCEND II LLC,ASCEND II,MMC,Denver,80237,2020-12-01
402-01119,37 INC,APOTHECARY FARMS,MMC,Colorado Springs,80910,2020-12-01
402-00913,ALTERNATIVE MEDICINE ON THE MALL LLC,NATIVE ROOTS SPEER,MMC,Denver,80203,2020-12-01
402-00929,ACES PLACE LLC,,MMC,Fort Collins,80524,2020-12-01
402-01075,LUX INC,THE LUX LEAF,MMC,Colorado Springs,80904,2020-12-01
402-01057,SDJ LLC,LIVING ROSE WELLNESS,MMC,Colorado Springs,80904,2020-12-01
402-00988,WESTSIDE WELLNESS CENTER LLC,MAGGIES FARM,MMC,Pueblo,81006,2020-12-01
402-01002,H & M ENTERPRISE LLC,MEDICAL CANNABIS & PARTNERS,MMC,Colorado Springs,80909,2020-12-01
402-01058,PRIMAL LLC,,MMC,Colorado Springs,80909,2020-12-01
402-00864,CANNACURA LLC,,MMC,Colorado Springs,80916,2020-12-01
402-01145,ADAMS GREEN CROSSING LLC,THE CHRONIC BOUTIQUE,MMC,Colorado Springs,80909,2020-12-01
